966.000000 -215.000000 941.000000, -246.000000 -21.000000 653.000000, 605.000000 122.000000 -403.000000, -774.000000 -338.000000 -869.000000, 
701.844727 -180.536652 641.120483, -327.485870 36.372475 471.214874, 450.563965 118.792465 -378.637421, -559.221558 -174.618942 -561.614014, 
595.883240 -177.479080 551.433472, -403.942352 85.871353 486.013489, 466.217987 144.386063 -426.641174, -519.085938 -152.819733 -516.689026, 
542.643799 -193.611755 509.660583, -443.803955 129.104263 492.832306, 474.689178 173.034302 -455.134644, -500.006470 -164.645004 -500.267273, 
513.184509 -216.423492 487.411774, -461.320007 170.530167 492.191254, 476.348297 204.655579 -467.297699, -489.189880 -189.637604 -491.116150, 
495.437744 -242.778168 473.907227, -466.082458 208.772842 487.617218, 473.708771 236.806213 -469.305145, -480.880524 -219.075577 -484.092865, 
482.724579 -270.773468 463.801270, -464.236328 244.821518 480.593750, 468.077911 268.493469 -466.125122, -472.877808 -251.046265 -476.942169, 
472.087219 -298.801788 454.834900, -459.085449 278.706818 472.377319, 460.848022 298.937347 -459.975677, -464.510864 -282.322906 -468.815704, 
462.464142 -325.698395 446.226776, -452.074493 308.796417 463.951111, 452.381958 326.598724 -452.257690, -456.419464 -311.492279 -460.274780, 
453.068481 -349.866089 438.092773, -444.558105 334.975677 455.425385, 443.863495 350.916534 -444.460632, -448.529205 -337.060303 -452.048096, 
445.604584 -369.580414 430.529938, -437.138702 355.923492 448.332794, 435.681946 371.448944 -437.030731, -441.054108 -358.170959 -444.509857, 
439.127380 -385.385071 423.702057, -430.884186 372.143433 442.666138, 428.690491 387.895905 -430.546875, -434.855347 -374.281067 -438.007660, 
434.166382 -397.464203 418.336975, -425.588226 383.968170 438.169891, 423.344482 400.009308 -425.329742, -429.546753 -386.408356 -432.990692, 
430.809601 -405.814880 414.300690, -421.842102 392.253815 435.139313, 419.138611 408.591125 -421.391663, -425.953827 -394.814331 -428.753662, 
428.253265 -411.377045 411.526337, -419.159973 397.965820 432.988190, 416.223724 414.342957 -418.829468, -423.263519 -400.384033 -426.077972, 
426.833252 -415.085876 409.239441, -417.856323 401.073456 431.186981, 414.235229 418.256104 -416.774261, -421.655243 -404.307434 -424.557922, 
425.775208 -417.683441 407.849487, -416.433136 403.476440 430.460236, 412.646790 420.916412 -415.611877, -420.391907 -406.818115 -423.288086, 
425.358704 -418.898895 406.739197, -415.705444 404.722290 430.119171, 411.294830 422.464233 -415.258087, -420.060883 -408.373688 -422.436890, 
425.611481 -419.469849 405.842865, -415.021301 405.391571 430.101318, 410.136597 423.475769 -415.391174, -419.972534 -409.561951 -421.466705, 
425.801819 -419.863007 405.318542, -414.680328 405.858276 430.155426, 409.338806 424.233368 -415.375824, -419.652161 -410.356140 -420.801483, 
426.162109 -419.878845 405.099976, -414.261475 406.098267 430.294403, 408.425690 424.639648 -415.745178, -419.510376 -411.200287 -420.104706, 
426.567505 -419.652374 405.046906, -414.223541 406.327332 430.272278, 407.732513 424.762299 -415.989594, -419.456696 -411.889069 -419.500183, 
426.826843 -419.521942 404.989838, -414.153717 406.459167 430.441742, 407.184570 424.810516 -416.184784, -419.573334 -412.261963 -418.999115, 
427.286133 -419.259735 404.541138, -413.881500 406.673615 430.302795, 406.728027 424.867249 -416.824982, -419.807770 -412.908173 -418.310364, 
427.838898 -419.280151 404.298889, -413.363739 406.562714 430.674622, 406.152893 424.952332 -417.245483, -419.862823 -413.112030 -417.996124, 
428.139618 -418.979919 404.347015, -413.200653 406.808563 430.488770, 405.759430 424.809143 -417.815216, -419.895630 -413.782013 -417.322601, 
428.787842 -418.355804 404.276001, -413.389771 406.517181 430.652771, 405.198090 424.949829 -418.191406, -419.830841 -414.130157 -417.026947, 
428.903259 -418.100311 404.361389, -413.240326 406.569366 430.509369, 404.831238 424.854401 -418.693359, -419.762970 -414.655853 -416.824951, 
429.126343 -417.996826 404.319611, -413.165771 406.713715 430.745636, 404.178040 424.913879 -418.919586, -419.854858 -415.068451 -416.274872, 
429.765381 -417.393494 404.364655, -413.445435 406.490417 430.548615, 403.852448 425.004669 -419.186218, -419.656464 -415.618896 -415.927643, 
430.117218 -417.073303 404.093414, -413.209625 406.620483 430.873169, 402.992798 425.451080 -419.763000, -419.629089 -415.975677 -415.385529, 
430.682648 -416.861572 403.919983, -413.243896 406.347321 431.138153, 402.406799 425.616852 -419.915466, -419.631561 -416.270264 -415.088013, 
431.093964 -416.500092 403.519318, -413.320435 406.178345 431.436035, 401.789764 425.882996 -420.185638, -419.745667 -416.576691 -414.825165, 
431.900757 -416.053162 403.262543, -413.062408 406.137939 431.703461, 400.928223 425.971375 -420.920044, -419.903412 -417.090088 -414.030029, 
432.026093 -415.912811 403.276611, -413.120148 406.081635 431.726135, 400.222412 426.081390 -421.106323, -419.769226 -417.785614 -413.822449, 
432.863556 -415.056580 403.064484, -413.067932 406.164917 431.763184, 399.701202 426.443726 -421.860840, -419.684204 -418.128143 -413.048676, 
433.011322 -414.889923 403.095795, -413.105774 406.112518 431.784912, 398.947662 426.523956 -422.078339, -419.559906 -418.875275 -412.819153, 
