-464.000000 -986.000000 -496.000000, -27.000000 -654.000000 700.000000, -788.000000 452.000000 392.000000, 776.000000 844.000000 -901.000000, 
-177.717194 -475.960510 -451.652313, 234.266510 -375.160522 484.880310, -436.594574 462.153198 187.709473, 489.219208 441.953552 -435.330811, 
-112.551949 -251.815323 -243.280365, 124.040932 -177.285294 252.937149, -472.180359 477.057465 215.837555, 498.705811 438.637146 -369.368927, 
-84.442680 -161.551559 -163.064468, 85.667061 -112.392715 171.939224, -511.480957 508.717102 230.997101, 518.799438 460.410675 -353.306122, 
-65.583664 -116.900940 -119.157646, 64.196022 -83.214188 127.008087, -528.677307 513.232605 236.674683, 531.830078 461.877350 -337.401337, 
-52.763180 -90.904373 -92.632744, 50.575203 -67.375610 99.254471, -536.849915 506.140167 237.083511, 541.614136 453.857086 -321.060455, 
-43.726761 -73.959648 -75.474564, 41.153389 -57.257912 80.897766, -541.924072 495.531525 234.912827, 550.402588 442.128937 -305.127533, 
-37.147877 -61.934174 -63.581947, 34.403904 -50.127953 68.046524, -546.613770 483.999176 230.314682, 558.967346 429.282257 -290.155212, 
-32.137115 -52.966915 -54.935871, 29.181402 -44.686943 58.769253, -551.634399 473.032562 224.612534, 566.628052 415.520538 -276.831482, 
-28.361679 -46.261681 -48.229729, 25.114359 -40.163841 51.614300, -556.076416 463.288696 217.639633, 574.547607 400.822968 -264.167664, 
-25.091074 -40.974316 -43.079975, 21.619480 -36.413326 46.150536, -560.158081 454.248566 209.850647, 582.203735 385.833435 -252.559555, 
-22.351973 -36.509640 -38.997833, 18.555206 -33.404488 41.838356, -563.755432 446.666748 201.448044, 589.946777 369.876251 -241.362808, 
-20.169847 -33.064106 -35.439194, 16.074997 -30.630442 38.133457, -566.558411 439.438507 192.720276, 596.909424 353.456757 -230.775681, 
-18.319658 -30.347565 -32.504066, 13.909244 -28.007105 35.132202, -569.354553 433.672852 183.571533, 603.912292 336.917694 -220.550964, 
-16.584515 -27.655884 -30.077669, 11.728353 -26.031256 32.636150, -571.492126 429.003906 174.405060, 610.827942 318.672394 -210.128540, 
-15.173327 -25.286079 -28.000498, 9.806353 -24.304379 30.404808, -572.690063 425.825165 165.372253, 618.151367 299.656952 -198.925079, 
-13.999378 -23.454468 -26.167307, 8.071742 -22.461754 28.371666, -573.374939 423.288879 156.041382, 625.667358 279.169128 -186.369904, 
-12.987787 -21.810698 -24.541920, 6.457028 -20.757900 26.561399, -573.765808 421.636627 146.722107, 632.778625 257.280090 -173.514175, 
-12.078687 -20.303457 -23.083530, 4.807536 -19.132364 24.829231, -573.508179 420.921753 136.890793, 640.052002 232.293442 -158.145721, 
-11.360342 -18.916327 -21.843254, 3.231689 -17.572634 23.159231, -572.164185 422.172455 127.147850, 647.737427 204.734695 -139.970612, 
